gender,age_group,education_level,race_ethnicity,religion_level,income_bracket,job_status,individual_first_vote,individual_final_vote,group_first_vote_guilty,group_first_vote_not_guilty,group_first_vote_undecided,group_final_vote_guilty,group_final_vote_not_guilty,group_final_vote_undecided,site,case_id,num_victims,defendant_gender,defendant_race_ethnicity,defendant_representation,victim_gender,victim_race_ethnicity,victim_relationship,defendant_criminal_history_known,sentencing_possibilities_known,case_type,total_counts,total_convictions,total_acquittals,total_hung_counts,sentence_range
Male,18-25,College graduate,White/Caucasian,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Male,26-35,Post-graduate work,NA,NA,NA,NA,Not Guilty,Not Guilty,0,12,NA,0,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Female,36-45,Some college,Nonwhite/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,NA,NA,NA,NA,NA,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Female,46-55,Post-graduate work,White/Caucasian,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Male,56-65,High school graduate,White/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,NA,NA,NA,NA,NA,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
Female,36-45,Post-graduate work,White/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,2,0,Female,"White, Hispanic",Public defender,NA,NA,Relationship not known,No,No,Drugs: possession,1,0,1,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,Not Guilty,Undecided,NA,11,1,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,Not Guilty,Undecided,NA,11,1,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,0,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,3,1,Male,"Black, non-Hispanic",Pro se,Male,"Black, non-Hispanic",Other acquaintance,Yes,No,Attempted murder,3,0,3,0,NA
Male,56-65,College graduate,White/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,12,NA,NA,NA,12,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Male,46-55,Some college,Black/African American,NA,NA,NA,Not Guilty,Not Guilty,0,12,3,0,12,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Female,46-55,Some college,Black/African American,NA,NA,NA,Guilty,Not Guilty,NA,NA,NA,NA,12,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Male,26-35,College graduate,Nonwhite/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,4,6,2,NA,12,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Male,26-35,Some college,Black/African American,NA,NA,NA,Not Guilty,Guilty,NA,10,NA,NA,NA,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Male,36-45,High school graduate,White/Hispanic,NA,NA,NA,Guilty,Not Guilty,2,7,3,NA,12,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Female,36-45,Some college,White/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,NA,NA,NA,NA,12,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Female,18-25,High school graduate,Nonwhite/Hispanic,NA,NA,NA,Undecided,Not Guilty,0,12,NA,0,12,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Male,56-65,College graduate,Asian/Pacific Islander,NA,NA,NA,Not Guilty,Not Guilty,2,9,1,0,12,0,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Female,56-65,High school graduate,White/Caucasian,NA,NA,NA,Undecided,Not Guilty,2,7,3,2,10,NA,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Male,46-55,High school graduate,Nonwhite/Hispanic,NA,NA,NA,Guilty,NA,NA,NA,NA,4,4,4,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Female,18-25,College graduate,Black/African American,NA,NA,NA,Not Guilty,Not Guilty,0,12,0,2,10,0,Los Angeles,4,1,Male,Other,Private,Male,"White, non-Hispanic",None,No,No,NA,2,0,2,0,NA
Male,46-55,Post-graduate work,White/Caucasian,NA,NA,NA,Guilty,Guilty,10,1,1,12,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
NA,NA,NA,NA,NA,NA,NA,Guilty,NA,NA,NA,NA,NA,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
NA,NA,NA,NA,NA,NA,NA,Guilty,NA,NA,NA,NA,12,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
Female,46-55,Some college,Black/African American,NA,NA,NA,Not Guilty,NA,NA,NA,NA,NA,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
Female,36-45,Some college,White/Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
Male,26-35,Post-graduate work,White/Caucasian,NA,NA,NA,Guilty,Guilty,NA,NA,NA,12,0,0,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
NA,NA,NA,NA,NA,NA,NA,Guilty,Guilty,9,2,1,12,0,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
NA,NA,NA,NA,NA,NA,NA,Not Guilty,NA,6,2,4,NA,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
NA,NA,NA,NA,NA,NA,NA,Guilty,NA,6,2,4,NA,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
NA,NA,NA,NA,NA,NA,NA,Guilty,Guilty,NA,NA,NA,12,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
NA,26-35,Some college,White/Hispanic,NA,NA,NA,Undecided,Guilty,NA,NA,NA,NA,NA,NA,Los Angeles,5,1,Male,"Black, non-Hispanic",Pro se,Female,"White, Hispanic",Spouse/domestic partner,Yes,Yes,Sexual offenses / minor,6,6,0,0,20+ years
Female,18-25,Some college,Nonwhite/Hispanic,NA,NA,NA,Guilty,NA,10,0,2,12,NA,NA,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Male,18-25,College graduate,Asian/Pacific Islander,NA,NA,NA,Guilty,Guilty,10,0,2,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Male,36-45,Post-graduate work,White/Caucasian,NA,NA,NA,Guilty,Guilty,12,NA,NA,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Male,36-45,Some college,Nonwhite/Hispanic,NA,NA,NA,Undecided,Guilty,10,0,2,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Male,Over 65,High school graduate,White/Caucasian,NA,NA,NA,Guilty,Guilty,12,NA,NA,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Female,26-35,College graduate,White/Caucasian,NA,NA,NA,Guilty,Guilty,10,NA,2,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Female,26-35,Post-graduate work,White/Caucasian,NA,NA,NA,Guilty,Guilty,10,0,11,11,1,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Male,46-55,Post-graduate work,White/Caucasian,NA,NA,NA,Guilty,Guilty,10,NA,2,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Male,46-55,Post-graduate work,NA,NA,NA,NA,Guilty,Guilty,10,0,2,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Female,26-35,College graduate,Nonwhite/Hispanic,NA,NA,NA,Undecided,Guilty,10,NA,2,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Female,36-45,College graduate,Black/African American,NA,NA,NA,Undecided,NA,10,NA,2,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Female,26-35,Some college,Black/African American,NA,NA,NA,Guilty,Guilty,10,0,2,12,0,0,Los Angeles,6,0,Male,Other,Public defender,NA,NA,Relationship not known,Yes,No,Drugs: sale,5,5,0,0,10–20 years
Female,36-45,Some college,White/Caucasian,NA,NA,NA,Guilty,Guilty,11,NA,1,12,0,0,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
Female,56-65,Some college,White/Caucasian,NA,NA,NA,Guilty,Guilty,NA,NA,NA,NA,NA,NA,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
Male,36-45,High school graduate,Black/African American,NA,NA,NA,Not Guilty,Guilty,11,1,7,12,0,0,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
NA,NA,College graduate,White/Hispanic,NA,NA,NA,Guilty,Guilty,11,NA,1,11,0,1,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
Male,36-45,Post-graduate work,White/Hispanic,NA,NA,NA,Guilty,Guilty,10,1,1,12,0,0,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
Male,36-45,College graduate,White/Hispanic,NA,NA,NA,Guilty,Guilty,11,1,NA,12,0,NA,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
Female,56-65,High school graduate,White/Caucasian,NA,NA,NA,Guilty,Guilty,11,NA,1,12,NA,NA,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
Male,46-55,College graduate,White/Caucasian,NA,NA,NA,Guilty,Guilty,11,1,NA,12,0,0,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
NA,36-45,Some college,Black/African American,NA,NA,NA,Guilty,Guilty,NA,NA,NA,NA,NA,NA,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
NA,36-45,Some college,White/Caucasian,NA,NA,NA,Guilty,Guilty,11,1,1,12,NA,NA,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
NA,46-55,Some college,Black/African American,NA,NA,NA,Guilty,Guilty,11,1,NA,11,NA,NA,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
Female,26-35,High school graduate,White/Hispanic,NA,NA,NA,Guilty,NA,11,1,NA,12,NA,NA,Los Angeles,7,1,Male,"Black, non-Hispanic",Private,Female,"White, non-Hispanic",None,Yes,Yes,Robbery,2,2,0,0,Life
Female,18-25,Some college,Nonwhite/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
Female,36-45,High school graduate,White/Hispanic,NA,NA,NA,NA,NA,NA,12,NA,NA,12,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
NA,26-35,NA,NA,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
NA,NA,NA,NA,NA,NA,NA,Not Guilty,NA,NA,12,NA,NA,NA,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
Female,36-45,College graduate,Nonwhite/Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
Male,46-55,Some college,White/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,12,NA,NA,12,NA,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
Male,36-45,College graduate,White/Caucasian,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
Male,26-35,Some college,White/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,NA,12,NA,NA,12,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
Male,36-45,Some college,White/Caucasian,NA,NA,NA,Not Guilty,Undecided,NA,12,NA,NA,12,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
Female,46-55,Some college,Nonwhite/Hispanic,NA,NA,NA,Not Guilty,Not Guilty,12,NA,NA,NA,12,NA,Los Angeles,8,2,Male,"White, Hispanic",Public defender,Male,"White, Hispanic",None,NA,No,Attempted murder,5,0,5,0,NA
NA,NA,NA,NA,NA,NA,NA,Undecided,NA,12,NA,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Female,36-45,Post-graduate work,NA,NA,NA,NA,Guilty,Guilty,12,NA,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,26-35,College graduate,Asian/Pacific Islander,NA,NA,NA,Guilty,NA,12,NA,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,26-35,College graduate,White/Caucasian,NA,NA,NA,Guilty,Guilty,12,0,0,12,0,0,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,26-35,Some college,Asian/Pacific Islander,NA,NA,NA,Guilty,NA,12,0,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Female,26-35,Some college,Asian/Pacific Islander,NA,NA,NA,Guilty,Guilty,12,NA,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Female,46-55,College graduate,NA,NA,NA,NA,Guilty,Guilty,12,NA,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Female,46-55,Some college,White/Caucasian,NA,NA,NA,Guilty,Guilty,12,NA,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Female,36-45,High school graduate,Black/African American,NA,NA,NA,Guilty,Guilty,12,NA,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
Male,36-45,Post-graduate work,Nonwhite/Hispanic,NA,NA,NA,Guilty,Guilty,12,NA,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
NA,NA,NA,NA,NA,NA,NA,NA,Guilty,0,0,NA,12,NA,NA,Los Angeles,10,0,Male,"Black, non-Hispanic",Pro se,NA,NA,Relationship not known,No,No,Drugs: possession,2,2,0,0,<1 year
