"gender","age_group","education_level","race_ethnicity","religion_level","income_bracket","job_status","individual_first_vote","individual_final_vote","group_first_vote_guilty","group_first_vote_not_guilty","group_first_vote_undecided","group_final_vote_guilty","group_final_vote_not_guilty","group_final_vote_undecided"
"Male","Over 65","High school graduate","White/Hispanic",NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,0,0
"Female","26-35","College graduate","White/Hispanic",NA,NA,NA,"Guilty","Guilty",10,NA,2,12,0,0
"Female","26-35","Post-graduate work","White/Hispanic",NA,NA,NA,"Guilty","Guilty",10,0,11,11,1,0
"Male","46-55","Post-graduate work","White/Hispanic",NA,NA,NA,"Guilty","Guilty",10,NA,2,12,0,0
"Male","46-55","Post-graduate work",NA,NA,NA,NA,"Guilty","Guilty",10,0,2,12,0,0
"Female","26-35","College graduate","Nonwhite/Hispanic",NA,NA,NA,"Undecided","Guilty",10,NA,2,12,0,0
"Female","36-45","College graduate","Black/African American",NA,NA,NA,"Undecided",NA,10,NA,2,12,0,0
"Female","26-35","Some college","Black/African American",NA,NA,NA,"Guilty","Guilty",10,0,2,12,0,0
"Female","36-45","Some college","White/Hispanic",NA,NA,NA,"Guilty","Guilty",11,NA,1,12,0,0
"Female","56-65","Some college","White/Hispanic",NA,NA,NA,"Guilty","Guilty",NA,NA,NA,NA,NA,NA
"Male","36-45","High school graduate","Black/African American",NA,NA,NA,"Not Guilty","Guilty",11,1,7,12,0,0
NA,NA,"College graduate","White/Caucasian",NA,NA,NA,"Guilty","Guilty",11,NA,1,11,0,1
"Male","36-45","Post-graduate work","White/Caucasian",NA,NA,NA,"Guilty","Guilty",10,1,1,12,0,0
"Male","36-45","College graduate","White/Caucasian",NA,NA,NA,"Guilty","Guilty",11,1,NA,12,0,NA
"Female","56-65","High school graduate","White/Hispanic",NA,NA,NA,"Guilty","Guilty",11,NA,1,12,NA,NA
"Male","46-55","College graduate","White/Hispanic",NA,NA,NA,"Guilty","Guilty",11,1,NA,12,0,0
NA,"36-45","Some college","Black/African American",NA,NA,NA,"Guilty","Guilty",NA,NA,NA,NA,NA,NA
NA,"36-45","Some college","White/Hispanic",NA,NA,NA,"Guilty","Guilty",11,1,1,12,NA,NA
NA,"46-55","Some college","Black/African American",NA,NA,NA,"Guilty","Guilty",11,1,NA,11,NA,NA
"Female","26-35","High school graduate","White/Caucasian",NA,NA,NA,"Guilty",NA,11,1,NA,12,NA,NA
"Female","18-25","Some college","Nonwhite/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Female","36-45","High school graduate","White/Caucasian",NA,NA,NA,NA,NA,NA,12,NA,NA,12,NA
NA,"26-35",NA,NA,NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty",NA,NA,12,NA,NA,NA,NA
"Female","36-45","College graduate","Nonwhite/Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","46-55","Some college","White/Caucasian",NA,NA,NA,"Not Guilty","Not Guilty",12,NA,NA,12,NA,NA
"Male","36-45","College graduate","White/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","26-35","Some college","White/Caucasian",NA,NA,NA,"Not Guilty","Not Guilty",NA,12,NA,NA,12,NA
"Male","36-45","Some college","White/Hispanic",NA,NA,NA,"Not Guilty","Undecided",NA,12,NA,NA,12,NA
"Female","46-55","Some college","Nonwhite/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",12,NA,NA,NA,12,NA
NA,NA,NA,NA,NA,NA,NA,"Undecided",NA,12,NA,NA,12,NA,NA
"Female","36-45","Post-graduate work",NA,NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","26-35","College graduate","Native American",NA,NA,NA,"Guilty",NA,12,NA,NA,12,NA,NA
"Male","26-35","College graduate","White/Hispanic",NA,NA,NA,"Guilty","Guilty",12,0,0,12,0,0
"Male","26-35","Some college","Native American",NA,NA,NA,"Guilty",NA,12,0,NA,12,NA,NA
"Female","26-35","Some college","Native American",NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","46-55","College graduate",NA,NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","46-55","Some college","White/Hispanic",NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","36-45","High school graduate","Black/African American",NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","36-45","Post-graduate work","Nonwhite/Hispanic",NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Guilty",0,0,NA,12,NA,NA
"Female","26-35","College graduate",NA,NA,NA,NA,"Undecided","Guilty",12,0,NA,12,0,NA
"Female","36-45","Some college","White/Hispanic","Very religious","Over $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","46-55","High school graduate","Black/African American","Very religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","26-35","Less than high school","White/Caucasian","Religious","$10,000 - $19,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","26-35","Some college","Black/African American","Religious","Over $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","56-65","College graduate","White/Caucasian","Religious","$40,000 - $49,999","Student","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","46-55","Some college","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","36-45","College graduate","Native American","Religious","Over $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","56-65","College graduate","Black/African American","Religious","$50,000 - $75,000","Employed part time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","Over 65","Post-graduate work","White/Hispanic","Neither","$20,000 - $29,999","Student","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","26-35","Post-graduate work","White/Hispanic","Very non-religious","$40,000 - $49,999","Employed part time","Guilty","Guilty",12,0,0,12,0,0
"Female","46-55","High school graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","26-35","Less than high school","White/Caucasian","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","18-25","Some college",NA,"Religious","$50,000 - $75,000","Unemployed, and a student","Not Guilty","Guilty",NA,NA,NA,11,1,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty",NA,7,NA,NA,7,NA,NA
"Female","18-25","College graduate","White/Hispanic","Neither","$50,000 - $75,000","Unemployed, and a student","Not Guilty","Guilty",NA,NA,NA,12,NA,NA
NA,"36-45",NA,"White/Caucasian","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",5,4,3,11,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty","Guilty",0,0,0,0,0,0
"Female","46-55","High school graduate",NA,NA,NA,NA,"Guilty","Guilty",NA,NA,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Undecided","Guilty",6,5,1,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty","Guilty",6,3,3,12,0,NA
NA,NA,NA,NA,NA,NA,NA,"Not Guilty","Guilty",5,5,2,12,NA,NA
"Male","46-55","Some college","Black/African American","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",5,4,3,12,NA,NA
"Male","26-35","Some college","Native American","Religious","$40,000 - $49,999","Employed full time","Undecided","Undecided",NA,NA,NA,NA,NA,NA
"Female","26-35","Post-graduate work","Native American","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",2,NA,5,12,NA,NA
"Male","36-45","High school graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",10,0,2,12,NA,NA
"Female","46-55","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,12,NA,NA
"Male","18-25","Some college","White/Caucasian","Somewhat non-religious","Over $75,000","Employed full time",NA,"Guilty",10,NA,2,12,NA,NA
"Male","56-65","Post-graduate work","White/Hispanic","Neither","Under $10,000","Student","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","36-45","Some college","Black/African American","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",10,2,NA,12,NA,NA
"Male","Over 65","Some college","White/Hispanic",NA,NA,NA,"Guilty","Guilty",10,NA,2,12,NA,NA
"Male","Over 65","Some college","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Student","Guilty","Guilty",10,NA,2,12,NA,NA
"Female","36-45","High school graduate","White/Caucasian","Very religious","$50,000 - $75,000","Employed full time","Undecided","Guilty",7,NA,5,12,NA,NA
"Female",NA,"Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Guilty",NA,10,NA,2,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Female","36-45","Some college","White/Hispanic",NA,NA,NA,"Guilty","Not Guilty",8,4,NA,10,2,NA
"Male","26-35","College graduate","Native American",NA,NA,NA,"Guilty","Undecided",4,8,NA,2,10,NA
"Female","36-45","College graduate","White/Caucasian",NA,NA,NA,"Not Guilty","Not Guilty",4,8,NA,2,8,NA
"Male","56-65","Some college","White/Caucasian",NA,NA,NA,"Guilty","Undecided",NA,NA,NA,2,10,NA
"Female","46-55","Some college","Black/African American",NA,NA,NA,"Not Guilty","Not Guilty",1,8,NA,NA,10,NA
"Male","Over 65","Post-graduate work","White/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",4,8,0,2,10,0
"Female","46-55","Post-graduate work","Native American",NA,NA,NA,"Not Guilty","Not Guilty",4,7,1,2,8,0
"Male","36-45","College graduate","Black/African American",NA,NA,NA,"Not Guilty","Not Guilty",4,8,NA,2,10,NA
"Female","46-55","Some college","White/Hispanic",NA,NA,NA,"Guilty","Guilty",4,8,NA,2,10,NA
"Male","Over 65","Some college","White/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",4,8,NA,12,NA,NA
"Female","56-65","High school graduate","White/Hispanic",NA,NA,NA,"Guilty","Not Guilty",8,3,1,10,2,NA
"Female","56-65","Post-graduate work","White/Hispanic",NA,NA,NA,"Not Guilty","Not Guilty",4,7,1,2,10,0
"Male","26-35","Some college",NA,"Very religious","$20,000 - $29,999","Self-employed","Not Guilty","Not Guilty",1,11,NA,0,12,NA
"Female","26-35","High school graduate","Native American","Neither","$40,000 - $49,999","Employed full time","Not Guilty","Not Guilty",NA,11,1,NA,12,NA
"Female","26-35","College graduate","Black/African American","Very religious","$30,000 - $39,999","Employed full time","Not Guilty","Not Guilty",11,1,NA,0,12,NA
"Male","36-45","Some college","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Not Guilty",NA,NA,NA,NA,NA,NA,NA
"Female","46-55","Post-graduate work","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",1,11,NA,NA,12,NA
"Female","36-45","Post-graduate work","White/Caucasian","Very religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",1,11,NA,0,12,NA
"Female","56-65","Some college","White/Hispanic","Somewhat non-religious","Over $75,000","Self-employed","Not Guilty","Not Guilty",1,11,NA,NA,12,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Male","18-25","Some college","White/Caucasian","Neither","$50,000 - $75,000","Employed part time","Guilty","Guilty",1,11,NA,0,12,NA
"Female","26-35","Some college","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Not Guilty",2,10,NA,NA,12,NA
"Female","46-55","Post-graduate work","White/Hispanic","Very religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",11,1,0,12,NA,NA
"Male","26-35","College graduate","Native American","Neither","$50,000 - $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,10,2,NA
"Male",NA,NA,"White/Caucasian","Very religious","$40,000 - $49,999","Employed full time","Guilty",NA,7,5,NA,12,NA,NA
"Male","36-45","Some college","Black/African American","Religious","Over $75,000","Employed full time","Guilty","Guilty",7,5,NA,12,NA,NA
"Female","56-65","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",5,0,7,12,0,0
"Female","36-45","Post-graduate work","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",7,5,0,12,0,NA
"Male","26-35","Some college","White/Caucasian","Very religious","$20,000 - $29,999","Employed part time","Guilty","Guilty",7,5,NA,2,10,NA
"Male","36-45","Some college","Black/African American","Very religious","$50,000 - $75,000","Employed full time","Guilty",NA,7,5,NA,12,NA,NA
"Female","46-55","College graduate","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Undecided","Guilty",7,0,5,12,0,0
"Female","26-35","High school graduate","White/Caucasian","Religious","$20,000 - $29,999","Employed full time","Undecided",NA,6,6,NA,6,6,NA
NA,"56-65","College graduate","White/Caucasian","Religious","$40,000 - $49,999","Employed full time","Undecided","Not Guilty",7,5,NA,5,5,2
"Female","46-55","College graduate","Native American","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","36-45","Post-graduate work","White/Hispanic","Very religious","Over $75,000","Employed full time","Guilty","Guilty",7,0,5,12,0,0
"Female","56-65","Some college","White/Hispanic","Religious","Over $75,000","Unemployed, and a student","Guilty","Not Guilty",10,NA,NA,NA,NA,NA
"Female","36-45","College graduate","Black/African American","Religious","$40,000 - $49,999","Employed full time","Guilty","Not Guilty",12,NA,NA,10,2,NA
"Female","36-45","College graduate","Native American","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",NA,NA,NA,NA,NA,NA
"Male","36-45","High school graduate","White/Caucasian","Religious",NA,NA,"Guilty","Not Guilty",10,2,1,8,4,NA
"Male","46-55","College graduate","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",11,1,NA,10,2,NA
"Female","36-45","Some college","Nonwhite/Hispanic","Very religious",NA,"Employed full time","Undecided","Guilty",NA,NA,NA,8,4,0
"Male","56-65","College graduate","White/Hispanic","Somewhat non-religious","$40,000 - $49,999","Student","Guilty","Guilty",11,1,NA,12,NA,NA
"Male","26-35","College graduate","White/Hispanic","Somewhat non-religious","$50,000 - $75,000","Employed full time","Guilty",NA,10,2,NA,10,2,NA
"Female","56-65","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",10,2,0,10,2,NA
"Male","36-45","Less than high school","Nonwhite/Hispanic","Very religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",10,2,NA,10,2,NA
"Female","36-45","College graduate","Black/African American","Very religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",10,2,NA,10,7,NA
"Male","36-45","College graduate","Native American","Neither","$30,000 - $39,999","Unemployed, seeking employment","Guilty","Guilty",NA,NA,NA,10,2,NA
"Female","46-55","Some college","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",NA,NA,NA,NA,12,NA
"Male","56-65",NA,"White/Caucasian","Religious","$50,000 - $75,000","Student","Guilty","Not Guilty",10,2,NA,NA,12,NA
"Male","26-35","Some college","Nonwhite/Hispanic","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Not Guilty",2,10,NA,NA,NA,NA
"Male","26-35","Post-graduate work","White/Hispanic","Religious","$50,000 - $75,000","Employed full time","Guilty",NA,11,1,NA,12,0,NA
"Female","26-35","College graduate","White/Caucasian","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Guilty",8,4,NA,12,NA,NA
"Male","26-35","College graduate","Native American","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,NA,NA,NA,NA,NA
"Female","36-45","College graduate","Native American","Religious",NA,"Employed full time","Not Guilty","Guilty",NA,NA,NA,12,NA,NA
"Female","46-55","Some college","White/Caucasian","Religious","Over $75,000","Employed full time","Not Guilty","Guilty",NA,12,NA,8,3,1
"Male","26-35","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",NA,NA,NA,NA,NA,NA
"Female","56-65","Some college","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",NA,12,NA,NA,12,NA
"Female","46-55","College graduate","White/Hispanic","Somewhat non-religious","Over $75,000","Employed full time","Guilty","Not Guilty",4,8,NA,0,12,NA
"Male","26-35","High school graduate","White/Hispanic","Somewhat non-religious","$30,000 - $39,999","Employed full time","Undecided","Not Guilty",1,11,NA,NA,12,NA
"Male","46-55","Some college","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","26-35","Some college","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",11,1,NA,12,0,NA
"Male","36-45","Some college","Nonwhite/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","36-45","Post-graduate work","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,0,NA,12,0,NA
"Female","36-45","Some college","White/Caucasian","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","26-35","Some college","White/Caucasian","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",11,1,NA,12,NA,NA
"Male","26-35","College graduate","White/Caucasian","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",11,1,NA,12,NA,NA
"Female","36-45","College graduate","Native American","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Female","26-35","Post-graduate work","White/Hispanic","Religious","$40,000 - $49,999","Employed full time","Guilty",NA,12,NA,NA,12,NA,NA
"Female","26-35","Post-graduate work","Nonwhite/Hispanic","Religious","$30,000 - $39,999","Employed full time","Guilty","Guilty",8,4,NA,12,NA,NA
"Male","46-55","Post-graduate work","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",11,1,NA,12,NA,NA
"Male","26-35","Post-graduate work","Native American","Very non-religious","Under $10,000","Self-employed","Guilty","Guilty",12,NA,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty","Guilty",12,NA,NA,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Guilty","Guilty",NA,NA,NA,NA,NA,2
"Female","36-45","College graduate","Black/African American","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",10,2,NA,11,0,NA
NA,NA,NA,NA,NA,NA,NA,"Undecided",NA,NA,NA,NA,NA,NA,NA
"Male","18-25","College graduate","White/Hispanic","Neither","$20,000 - $29,999","Unemployed, and a student","Guilty","Guilty",10,2,2,12,0,0
"Male","36-45","Post-graduate work","White/Caucasian","Religious","Over $75,000","Employed full time","Guilty","Guilty",10,NA,2,12,NA,NA
"Female","36-45","Some college","White/Caucasian","Religious","$40,000 - $49,999","Employed full time","Guilty","Guilty",10,2,NA,12,NA,NA
"Female","36-45","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time","Guilty","Guilty",10,2,NA,12,NA,NA
NA,"Over 65","Some college","Native American","Religious","Over $75,000","Student","Guilty",NA,NA,NA,NA,NA,NA,NA
"Male","26-35","Some college","Black/African American","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",10,1,0,12,0,0
"Male",NA,"Less than high school",NA,"Religious","$40,000 - $49,999","Employed full time","Guilty",NA,12,NA,NA,12,NA,NA
"Female","26-35","High school graduate","White/Caucasian","Religious","$20,000 - $29,999","Employed full time","Guilty","Guilty",12,NA,NA,12,NA,NA
"Male","18-25","College graduate","White/Caucasian","Religious","$10,000 - $19,999","Employed part time","Not Guilty","Guilty",4,7,1,12,NA,NA
"Female","36-45","College graduate","White/Hispanic","Neither","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",4,7,1,12,1,1
"Female","46-55","Post-graduate work","Black/African American","Religious","Over $75,000","Employed full time","Not Guilty","Guilty",4,7,1,12,0,0
"Female","26-35","College graduate","Native American","Religious","$50,000 - $75,000","Employed full time","Guilty","Guilty",4,7,1,12,0,0
"Male","26-35","College graduate","Black/African American","Neither","$10,000 - $19,999","Employed full time","Undecided","Guilty",4,7,1,12,NA,NA
"Female","46-55","High school graduate","White/Hispanic","Religious","$30,000 - $39,999","Employed full time","Not Guilty","Guilty",4,7,1,12,0,NA
"Female","46-55","College graduate","White/Hispanic","Religious","Over $75,000","Employed full time",NA,"Guilty",4,7,1,12,NA,NA
"Male","36-45","Some college","Native American","Somewhat non-religious","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",4,7,1,12,NA,NA
"Male","26-35","College graduate","White/Caucasian","Religious","Over $75,000","Employed full time","Not Guilty","Not Guilty",4,6,2,12,NA,NA
"Female","18-25","Post-graduate work",NA,"Religious","$30,000 - $39,999","Employed full time","Undecided","Guilty",4,7,1,12,0,0
"Male","36-45","High school graduate","White/Caucasian","Religious","$50,000 - $75,000","Employed full time","Not Guilty","Guilty",4,7,1,12,0,0
